YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,CANCELLED,ARRIVAL_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,1,4,B6,668,PSE,MCO,255,185,1179,500,0,0,,,,,,60,93,N,9,0
2015,1,1,4,UA,1162,BQN,EWR,259,240,1585,559,0,0,,,,,,24,53,WSW,6,0
2015,1,1,4,B6,1030,BQN,MCO,307,173,1129,500,0,1,,,,,,60,93,N,9,0
2015,1,1,4,B6,262,SJU,BOS,330,245,1674,635,0,0,76,87,CALM,0,0,23,50,WSW,14,0
2015,1,1,4,B6,2134,SJU,MCO,400,185,1189,605,0,1,76,87,CALM,0,0,61,90,N,8,0
2015,1,1,4,B6,730,BQN,MCO,419,174,1129,613,0,0,,,,,,61,90,N,8,0
2015,1,1,4,B6,768,PSE,MCO,424,186,1179,630,0,0,,,,,,61,90,N,8,0
2015,1,1,4,B6,2276,SJU,BDL,438,241,1666,739,0,1,76,87,CALM,0,0,24,42,WSW,13,0
2015,1,1,4,US,602,ORD,PHX,500,228,1440,748,0,0,15,64,WSW,18,0,37,86,E,5,0
2015,1,1,4,AS,695,GEG,SEA,500,70,224,610,0,0,10,87,E,3,0,29,82,ENE,3,0
2015,1,1,4,HA,102,HNL,ITO,500,49,216,549,0,0,65,75,NW,7,0,38,39,,0,0
2015,1,1,4,OO,5467,ONT,SFO,500,89,363,629,0,0,32,61,NNE,8,0,48,48,NE,17,0
2015,1,1,4,HA,108,HNL,KOA,502,42,163,544,0,0,65,75,NW,7,0,,,,,
2015,1,1,4,AS,730,ANC,SEA,505,205,1448,930,0,0,34,87,N,6,0,32,73,CALM,0,0
2015,1,1,4,HA,206,HNL,OGG,505,36,100,541,0,0,65,75,NW,7,0,32,73,CALM,0,0
2015,1,1,4,UA,1500,ORD,IAH,510,175,925,805,0,0,15,64,WSW,18,0,41,93,N,10,0
2015,1,1,4,AA,1323,MCO,MIA,510,63,192,613,0,0,60,93,N,9,0,70,93,CALM,0,0
2015,1,1,4,NK,103,BOS,MYR,510,140,738,730,0,0,23,48,WSW,17,0,32,87,VAR,6,0
2015,1,1,4,OO,7404,HIB,MSP,510,68,174,618,0,0,20,81,W,7,0,17,74,SW,12,0
