YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,7,3,AA,2392,N3FBAA,DEN,MIA,120,128,8,13,141,226,206,187,1709,648,6,706,654,0,0,0,,,,,,,16,92,E,10,0,71,87,NW,6,0
2015,1,7,3,NK,168,N631NK,PHX,ORD,125,123,-2,12,135,204,201,173,1440,528,16,549,544,0,0,0,,,,,,,52,54,S,5,0,1,57,NW,25,0
2015,1,7,3,AS,136,N423AS,ANC,SEA,130,133,3,6,139,205,184,174,1448,533,4,555,537,0,0,0,,,,,,,10,73,E,3,0,45,93,N,5,0
2015,1,7,3,AA,2211,N3JHAA,PHX,MIA,131,124,-7,12,136,235,239,221,1972,717,6,726,723,0,0,0,,,,,,,52,54,S,5,0,71,87,NW,6,0
2015,1,7,3,US,524,N765US,ANC,PHX,142,139,-3,13,152,328,331,314,2552,906,4,910,910,0,0,0,,,,,,,10,73,E,3,0,61,42,SW,3,0
2015,1,7,3,NK,298,N534NK,LAS,IAH,144,404,140,11,415,170,168,153,1222,848,4,634,852,1,0,0,,138,0,0,0,0,50,48,SW,7,0,46,93,CALM,0,0
2015,1,7,3,HA,17,N393HA,LAS,HNL,145,145,0,14,159,370,381,358,2762,557,9,555,606,0,0,0,,,,,,,50,48,SW,7,0,66,65,NNE,6,0
2015,1,7,3,AS,134,N435AS,ANC,SEA,155,449,174,16,505,205,208,184,1448,909,8,620,917,1,0,0,,3,0,174,0,0,10,73,E,3,0,44,96,NNW,3,0
2015,1,7,3,B6,1990,N635JB,SJU,EWR,155,231,36,14,245,246,241,222,1608,527,5,501,532,1,0,0,,0,0,0,31,0,73,93,E,6,0,18,81,SW,9,0
2015,1,7,3,NK,451,N632NK,PBG,FLL,155,224,29,10,234,208,205,185,1334,539,10,523,549,1,0,0,,26,0,0,0,0,14,74,SSW,3,0,69,96,NW,6,0
2015,1,7,3,AS,144,N570AS,ANC,PDX,200,151,-9,8,159,210,203,191,1542,610,4,630,614,0,0,0,,,,,,,11,70,CALM,0,0,35,100,W,6,0
2015,1,7,3,NK,972,N615NK,PHX,DFW,200,156,-4,20,216,123,137,110,868,506,7,503,513,0,0,0,,,,,,,54,51,NE,3,0,34,61,N,20,0
2015,1,7,3,AS,114,N708AS,ANC,SEA,215,220,5,22,242,200,212,182,1448,644,8,635,652,1,0,0,,17,0,0,0,0,11,70,CALM,0,0,44,96,NNW,3,0
2015,1,7,3,NK,647,N622NK,IAG,FLL,238,248,10,10,258,184,173,158,1176,536,5,542,541,0,0,0,,,,,,,14,74,WSW,24,0,69,96,NW,6,0
2015,1,7,3,UA,1162,N73278,BQN,EWR,255,357,62,21,418,240,247,218,1585,656,8,555,704,1,0,0,,7,0,4,58,0,,,,,,18,81,SW,9,0
2015,1,7,3,B6,1204,N658JB,SJU,JFK,301,301,0,13,314,239,240,212,1598,546,15,600,601,0,0,0,,,,,,,73,90,E,6,0,22,66,W,15,0
2015,1,7,3,B6,668,N267JB,PSE,MCO,304,253,-11,12,305,185,172,157,1179,442,3,509,445,0,0,0,,,,,,,73,90,E,6,0,50,74,NW,6,0
2015,1,7,3,B6,1030,N323JB,BQN,MCO,307,315,8,17,332,173,173,151,1129,503,5,500,508,0,0,0,,,,,,,,,,,,50,74,NW,6,0
2015,1,7,3,B6,262,N565JB,SJU,BOS,328,541,133,15,556,245,250,220,1674,836,15,633,851,1,0,0,,5,0,0,133,0,73,90,E,6,0,16,71,WSW,12,0
2015,1,7,3,NK,374,N621NK,BQN,FLL,410,408,-2,16,424,155,158,134,983,538,8,545,546,0,0,0,,,,,,,,,,,,69,96,NW,6,0
2015,1,7,3,B6,730,N760JB,BQN,MCO,420,437,17,8,445,174,151,140,1129,605,3,614,608,0,0,0,,,,,,,,,,,,49,71,NW,7,0
2015,1,7,3,B6,768,N216JB,PSE,MCO,425,410,-15,11,421,186,176,160,1179,601,5,631,606,0,0,0,,,,,,,72,78,CALM,0,0,49,71,NW,7,0
2015,1,7,3,B6,2134,N554JB,SJU,MCO,430,447,17,16,503,184,167,147,1189,630,4,634,634,0,0,0,,,,,,,72,93,E,6,0,49,71,NW,7,0
2015,1,7,3,B6,2276,N586JB,SJU,BDL,434,452,18,9,501,241,233,219,1666,740,5,735,745,0,0,0,,,,,,,72,93,E,6,0,16,68,SW,5,0
2015,1,7,3,US,602,N586UW,ORD,PHX,500,458,-2,23,521,231,234,203,1440,744,8,751,752,0,0,0,,,,,,,1,57,NW,25,0,49,64,SSW,3,0
2015,1,7,3,US,1749,N710UW,BOS,CLT,500,454,-6,15,509,145,152,134,728,723,3,725,726,0,0,0,,,,,,,18,65,W,12,0,32,75,CALM,0,0
2015,1,7,3,US,1984,N770UW,FLL,CLT,500,500,0,11,511,115,107,91,631,642,5,655,647,0,0,0,,,,,,,69,96,NW,6,0,29,78,CALM,0,0
2015,1,7,3,US,1852,N124US,EWR,CLT,500,456,-4,21,517,111,123,96,529,653,6,651,659,0,0,0,,,,,,,18,81,SW,9,0,29,78,CALM,0,0
2015,1,7,3,AA,1342,N3BVAA,ORD,MIA,500,620,80,14,634,179,176,149,1197,1003,13,859,1016,1,0,0,,0,0,0,0,77,1,57,NW,25,0,71,87,WNW,6,0
2015,1,7,3,AS,695,N462AS,GEG,SEA,500,455,-5,13,508,70,74,43,224,551,18,610,609,0,0,0,,,,,,,32,100,NNE,7,0,44,96,NNW,3,0
2015,1,7,3,DL,2489,N333NB,FAR,MSP,500,459,-1,29,528,81,66,35,223,603,2,621,605,0,0,0,,,,,,,-8,65,NW,13,0,-9,62,NW,15,0
2015,1,7,3,EV,5326,N740EV,BIS,MSP,500,454,-6,30,524,85,94,60,386,624,4,625,628,0,0,0,,,,,,,73,78,E,6,0,-9,62,NW,15,0
2015,1,7,3,HA,102,N475HA,HNL,ITO,500,453,-7,10,503,49,48,33,216,536,5,549,541,0,0,0,,,,,,,66,65,NNE,6,0,44,40,,0,0
2015,1,7,3,EV,4436,N16170,MKE,IAH,501,505,4,21,526,187,175,144,984,750,10,808,800,0,0,0,,,,,,,0,54,NW,17,0,50,80,CALM,0,0
2015,1,7,3,HA,108,N488HA,HNL,KOA,502,453,-9,9,502,42,43,29,163,531,5,544,536,0,0,0,,,,,,,66,65,NNE,6,0,,,,,
2015,1,7,3,UA,325,N491UA,EWR,IAH,503,506,3,31,537,242,253,209,1400,806,13,805,819,0,0,0,,,,,,,18,81,SW,9,0,50,80,CALM,0,0
2015,1,7,3,US,1982,N542UW,DFW,CLT,505,505,0,10,515,143,159,139,936,834,10,828,844,1,0,0,,16,0,0,0,0,34,61,N,20,0,36,52,WSW,3,0
2015,1,7,3,AS,730,N403AS,ANC,SEA,505,505,0,9,514,205,192,173,1448,907,10,930,917,0,0,0,,,,,,,9,73,ENE,3,0,44,93,CALM,0,0
2015,1,7,3,NK,103,N607NK,BOS,MYR,505,458,-7,22,520,140,159,130,738,730,7,725,737,0,0,0,,,,,,,18,65,W,12,0,36,75,W,5,0
2015,1,7,3,HA,206,N477HA,HNL,OGG,505,500,-5,11,511,36,39,22,100,533,6,541,539,0,0,0,,,,,,,66,65,NNE,6,0,36,75,W,5,0
2015,1,7,3,OO,7370,N915EV,BJI,MSP,505,503,-2,18,521,73,57,33,199,554,6,618,600,0,0,0,,,,,,,-16,73,NW,15,0,-9,62,NW,15,0
2015,1,7,3,OO,5393,N693BR,MKE,ORD,510,515,5,19,534,49,46,19,67,553,8,559,601,0,0,0,,,,,,,0,54,NW,17,0,1,57,NW,25,0
2015,1,7,3,US,1709,N558UW,MSP,CLT,510,458,-12,28,526,156,154,111,930,817,15,846,832,0,0,0,,,,,,,-8,59,NW,14,0,36,52,WSW,3,0
2015,1,7,3,US,1879,N161UW,TPA,CLT,510,503,-7,17,520,96,95,72,507,632,6,646,638,0,0,0,,,,,,,52,74,NE,6,0,29,78,CALM,0,0
2015,1,7,3,AA,1323,N3GUAA,MCO,MIA,510,515,5,15,530,62,63,41,192,611,7,612,618,0,0,0,,,,,,,50,74,NW,6,0,70,90,N,7,0
2015,1,7,3,DL,2524,N365NB,DLH,MSP,510,506,-4,30,536,70,62,30,144,606,2,620,608,0,0,0,,,,,,,-15,64,NW,18,0,-9,62,NW,15,0
2015,1,7,3,EV,5211,N754EV,FSD,MSP,510,508,-2,13,521,70,55,38,196,559,4,620,603,0,0,0,,,,,,,-8,71,NW,13,0,-9,62,NW,15,0
2015,1,7,3,UA,1441,N36476,ORD,IAH,515,514,-1,17,531,175,154,130,925,741,7,810,748,0,0,0,,,,,,,1,57,NW,25,0,50,80,CALM,0,0
2015,1,7,3,US,646,N653AW,SEA,PHX,515,517,2,18,535,164,165,142,1107,857,5,859,902,0,0,0,,,,,,,45,93,N,5,0,52,59,SSW,3,0
2015,1,7,3,US,1732,N747UW,ORF,CLT,515,513,-2,12,525,76,83,64,290,629,7,631,636,0,0,0,,,,,,,34,73,CALM,0,0,29,78,CALM,0,0
2015,1,7,3,US,2050,N840AW,PIT,CLT,515,523,8,40,603,93,111,64,366,707,7,648,714,1,0,0,,18,0,8,0,0,7,77,NNE,16,0,29,78,CALM,0,0
2015,1,7,3,US,1801,N713UW,IAH,CLT,515,503,-12,11,514,139,136,111,912,805,14,834,819,0,0,0,,,,,,,46,93,CALM,0,0,36,52,WSW,3,0
2015,1,7,3,US,1837,N802AW,BWI,CLT,515,507,-8,29,536,89,102,69,361,645,4,644,649,0,0,0,,,,,,,19,81,W,6,0,29,78,CALM,0,0
2015,1,7,3,AA,1388,N3GYAA,DFW,MIA,515,548,33,9,557,159,145,132,1121,909,4,854,913,1,0,0,,0,0,19,0,0,34,61,N,20,0,71,87,WNW,6,0
2015,1,7,3,AA,2454,N3CBAA,BOS,MIA,515,506,-9,28,534,210,239,205,1258,859,6,845,905,1,0,0,,20,0,0,0,0,18,65,W,12,0,71,87,WNW,6,0
2015,1,7,3,EV,4098,N26549,MAF,IAH,515,505,-10,21,526,85,89,59,429,625,9,640,634,0,0,0,,,,,,,32,94,CALM,0,0,46,93,CALM,0,0
2015,1,7,3,OO,5460,N566SW,RDD,SFO,515,510,-5,20,530,86,93,65,199,635,8,641,643,0,0,0,,,,,,,36,93,CALM,0,0,45,90,CALM,0,0
2015,1,7,3,OO,7365,N453SW,ABR,MSP,515,508,-7,16,524,68,66,44,257,608,6,623,614,0,0,0,,,,,,,-15,75,ESE,12,0,-9,62,NW,15,0
2015,1,7,3,US,1724,N947UW,RDU,PHL,519,510,-9,11,521,76,84,52,337,613,21,635,634,0,0,0,,,,,,,29,78,SSW,3,0,22,66,W,14,0
