YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,CANCELLED,ARRIVAL_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,7,3,B6,2134,SJU,MCO,430,184,1189,634,0,0,72,93,E,6,0,49,71,NW,7,0
2015,1,7,3,B6,2276,SJU,BDL,434,241,1666,735,0,0,72,93,E,6,0,16,68,SW,5,0
2015,1,7,3,US,602,ORD,PHX,500,231,1440,751,0,0,1,57,NW,25,0,49,64,SSW,3,0
2015,1,7,3,US,1749,BOS,CLT,500,145,728,725,0,0,18,65,W,12,0,32,75,CALM,0,0
2015,1,7,3,US,1984,FLL,CLT,500,115,631,655,0,0,69,96,NW,6,0,29,78,CALM,0,0
2015,1,7,3,US,1852,EWR,CLT,500,111,529,651,0,0,18,81,SW,9,0,29,78,CALM,0,0
2015,1,7,3,AA,1342,ORD,MIA,500,179,1197,859,0,1,1,57,NW,25,0,71,87,WNW,6,0
2015,1,7,3,AS,695,GEG,SEA,500,70,224,610,0,0,32,100,NNE,7,0,44,96,NNW,3,0
2015,1,7,3,DL,2489,FAR,MSP,500,81,223,621,0,0,-8,65,NW,13,0,-9,62,NW,15,0
2015,1,7,3,EV,5326,BIS,MSP,500,85,386,625,0,0,73,78,E,6,0,-9,62,NW,15,0
2015,1,7,3,HA,102,HNL,ITO,500,49,216,549,0,0,66,65,NNE,6,0,44,40,,0,0
2015,1,7,3,EV,4436,MKE,IAH,501,187,984,808,0,0,0,54,NW,17,0,50,80,CALM,0,0
2015,1,7,3,HA,108,HNL,KOA,502,42,163,544,0,0,66,65,NNE,6,0,,,,,
2015,1,7,3,UA,325,EWR,IAH,503,242,1400,805,0,0,18,81,SW,9,0,50,80,CALM,0,0
2015,1,7,3,US,1982,DFW,CLT,505,143,936,828,0,1,34,61,N,20,0,36,52,WSW,3,0
2015,1,7,3,AS,730,ANC,SEA,505,205,1448,930,0,0,9,73,ENE,3,0,44,93,CALM,0,0
2015,1,7,3,NK,103,BOS,MYR,505,140,738,725,0,0,18,65,W,12,0,36,75,W,5,0
2015,1,7,3,HA,206,HNL,OGG,505,36,100,541,0,0,66,65,NNE,6,0,36,75,W,5,0
2015,1,7,3,OO,7370,BJI,MSP,505,73,199,618,0,0,-16,73,NW,15,0,-9,62,NW,15,0
2015,1,7,3,OO,5393,MKE,ORD,510,49,67,559,0,0,0,54,NW,17,0,1,57,NW,25,0
2015,1,7,3,US,1709,MSP,CLT,510,156,930,846,0,0,-8,59,NW,14,0,36,52,WSW,3,0
2015,1,7,3,US,1879,TPA,CLT,510,96,507,646,0,0,52,74,NE,6,0,29,78,CALM,0,0
2015,1,7,3,AA,1323,MCO,MIA,510,62,192,612,0,0,50,74,NW,6,0,70,90,N,7,0
2015,1,7,3,DL,2524,DLH,MSP,510,70,144,620,0,0,-15,64,NW,18,0,-9,62,NW,15,0
2015,1,7,3,EV,5211,FSD,MSP,510,70,196,620,0,0,-8,71,NW,13,0,-9,62,NW,15,0
2015,1,7,3,UA,1441,ORD,IAH,515,175,925,810,0,0,1,57,NW,25,0,50,80,CALM,0,0
2015,1,7,3,US,646,SEA,PHX,515,164,1107,859,0,0,45,93,N,5,0,52,59,SSW,3,0
2015,1,7,3,US,1732,ORF,CLT,515,76,290,631,0,0,34,73,CALM,0,0,29,78,CALM,0,0
2015,1,7,3,US,2050,PIT,CLT,515,93,366,648,0,1,7,77,NNE,16,0,29,78,CALM,0,0
2015,1,7,3,US,1801,IAH,CLT,515,139,912,834,0,0,46,93,CALM,0,0,36,52,WSW,3,0
2015,1,7,3,US,1837,BWI,CLT,515,89,361,644,0,0,19,81,W,6,0,29,78,CALM,0,0
2015,1,7,3,AA,1388,DFW,MIA,515,159,1121,854,0,1,34,61,N,20,0,71,87,WNW,6,0
2015,1,7,3,AA,2454,BOS,MIA,515,210,1258,845,0,1,18,65,W,12,0,71,87,WNW,6,0
2015,1,7,3,EV,4098,MAF,IAH,515,85,429,640,0,0,32,94,CALM,0,0,46,93,CALM,0,0
2015,1,7,3,OO,5460,RDD,SFO,515,86,199,641,0,0,36,93,CALM,0,0,45,90,CALM,0,0
2015,1,7,3,OO,7365,ABR,MSP,515,68,257,623,0,0,-15,75,ESE,12,0,-9,62,NW,15,0
2015,1,7,3,US,1724,RDU,PHL,519,76,337,635,0,0,29,78,SSW,3,0,22,66,W,14,0
2015,1,7,3,UA,1451,PHL,IAH,520,234,1325,814,0,0,22,68,W,13,0,50,80,CALM,0,0
2015,1,7,3,US,425,PDX,PHX,520,150,1009,850,0,0,35,100,CALM,0,0,52,59,SSW,3,0
2015,1,7,3,US,2062,MCO,CLT,520,97,468,657,0,0,50,74,NW,6,0,29,78,CALM,0,0
2015,1,7,3,WN,2418,LAS,PHX,520,65,255,725,0,0,47,56,SW,7,0,49,64,SSW,3,0
2015,1,7,3,AA,89,IAH,MIA,520,137,964,837,0,0,46,93,CALM,0,0,71,87,WNW,6,0
2015,1,7,3,DL,1418,MCO,ATL,520,89,404,649,0,0,50,74,NW,6,0,32,69,NW,13,0
2015,1,7,3,DL,1608,BOI,MSP,520,175,1142,915,0,0,27,93,CALM,0,0,-7,56,NW,17,0
2015,1,7,3,DL,2591,TPA,ATL,520,87,406,647,0,0,52,74,NE,6,0,32,69,NW,13,0
2015,1,7,3,EV,4288,MFE,IAH,520,72,316,632,0,0,73,94,CALM,0,0,46,93,CALM,0,0
2015,1,7,3,OO,4779,DIK,MSP,520,113,481,813,0,0,73,94,CALM,0,0,-8,59,NW,23,0
2015,1,7,3,OO,5484,BOI,SFO,520,115,522,615,0,1,27,93,CALM,0,0,45,90,CALM,0,0
2015,1,7,3,OO,7389,GCC,RKS,520,77,261,637,0,0,4,80,S,5,0,29,89,WSW,6,0
2015,1,7,3,EV,4671,HRL,IAH,521,72,295,633,0,0,59,93,CALM,0,0,46,93,CALM,0,0
2015,1,7,3,EV,4685,BRO,IAH,523,76,308,639,0,0,25,74,S,13,0,46,93,CALM,0,0
2015,1,7,3,HA,103,HNL,LIH,523,37,102,600,0,0,66,65,NNE,6,0,68,59,N,15,0
2015,1,7,3,DL,2517,VPS,ATL,524,70,250,734,0,0,36,83,NNE,5,0,32,66,NW,10,0
2015,1,7,3,US,1901,RIC,CLT,525,77,257,642,0,0,30,75,CALM,0,0,29,78,CALM,0,0
2015,1,7,3,DL,2288,BHM,ATL,525,60,134,725,0,0,30,79,NW,6,0,32,66,NW,10,0
2015,1,7,3,DL,1991,MSP,ATL,525,160,907,905,0,1,-8,59,NW,14,0,35,50,NW,15,0
2015,1,7,3,DL,823,CLT,ATL,525,77,226,642,0,0,29,75,CALM,0,0,32,69,NW,13,0
2015,1,7,3,MQ,3659,SGF,DFW,525,92,364,657,0,1,20,68,N,20,0,34,59,N,20,0
2015,1,7,3,NK,895,FLL,SJU,525,150,1046,855,0,1,69,96,NW,6,0,76,85,E,8,0
2015,1,7,3,OO,4541,LWS,SLC,525,93,461,758,0,0,35,96,CALM,0,0,30,88,CALM,0,0
2015,1,7,3,OO,6436,PDX,SFO,525,111,550,716,0,0,35,100,CALM,0,0,49,86,CALM,0,0
2015,1,7,3,EV,4287,IAD,IAH,527,225,1190,812,0,1,15,91,NNW,3,0,50,80,CALM,0,0
2015,1,7,3,EV,4209,BTR,IAH,528,72,253,640,0,0,41,76,NNE,3,0,46,93,CALM,0,0
2015,1,7,3,UA,812,SEA,DEN,530,157,1024,907,1,1,45,93,N,5,0,14,92,SE,5,0
2015,1,7,3,UA,1545,DFW,IAH,530,68,224,638,0,0,34,61,N,20,0,46,93,CALM,0,0
2015,1,7,3,US,1909,BOS,PHL,530,89,280,659,0,0,18,65,W,12,0,22,66,W,14,0
2015,1,7,3,US,1969,RDU,CLT,530,57,130,627,0,0,29,78,SSW,3,0,29,78,CALM,0,0
2015,1,7,3,WN,141,ALB,MDW,530,160,717,710,0,0,15,74,S,8,0,2,55,NW,21,0
2015,1,7,3,AA,328,DEN,DFW,530,117,641,827,0,1,14,92,E,8,0,34,52,NNE,25,0
2015,1,7,3,AA,1287,MSP,MIA,530,225,1501,1015,0,0,-8,59,NW,14,0,76,67,NNW,8,0
2015,1,7,3,DL,1598,JAX,ATL,530,70,270,640,0,0,41,89,W,6,0,32,69,NW,13,0
2015,1,7,3,DL,1906,HSV,ATL,530,65,151,735,0,0,32,56,NNW,9,0,32,66,NW,10,0
