YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ARRIVAL_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,1,4,B6,304,SJU,JFK,155,235,1598,450,0,0,,,,,,,0.0,77.0,84.0,CALM,0.0,0.0,29.0,40.0,W,14.0,0.0
2015,1,1,4,NK,451,PBG,FLL,155,208,1334,523,0,0,,,,,,,0.0,19.0,62.0,S,5.0,0.0,71.0,100.0,N,3.0,0.0
2015,1,1,4,NK,972,PHX,DFW,159,123,868,502,0,0,,,,,,,0.0,37.0,75.0,WNW,3.0,0.0,33.0,78.0,N,8.0,0.0
2015,1,1,4,AA,2459,PHX,DFW,200,120,868,500,0,1,B,,,,,,1.0,37.0,76.0,NW,3.0,0.0,33.0,78.0,N,8.0,0.0
2015,1,1,4,AS,144,ANC,PDX,200,210,1542,630,0,0,,,,,,,0.0,34.0,87.0,N,6.0,0.0,24.0,69.0,CALM,0.0,0.0
2015,1,1,4,NK,647,IAG,FLL,200,184,1176,504,0,0,,,,,,,0.0,20.0,55.0,WSW,22.0,0.0,71.0,100.0,N,3.0,0.0
2015,1,1,4,B6,1990,SJU,EWR,206,246,1608,512,0,0,,,,,,,0.0,77.0,84.0,CALM,0.0,0.0,24.0,53.0,WSW,6.0,0.0
2015,1,1,4,US,699,PHX,CLT,220,224,1773,804,0,0,,,,,,,-36.0,,,,,,,,,,
2015,1,1,4,AS,114,ANC,SEA,220,200,1448,640,0,0,,,,,,,-12.0,,,,,,,,,,
2015,1,1,4,B6,668,PSE,MCO,255,185,1179,500,0,0,,,,,,,-9.0,,,,,,,,,,
2015,1,1,4,UA,1162,BQN,EWR,259,240,1585,559,0,0,,,,,,,6.0,,,,,,,,,,
2015,1,1,4,B6,1030,BQN,MCO,307,173,1129,500,0,0,,20.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,
2015,1,1,4,B6,262,SJU,BOS,330,245,1674,635,0,0,,,,,,,-16.0,,,,,,,,,,
2015,1,1,4,B6,2134,SJU,MCO,400,185,1189,605,0,0,,0.0,0.0,85.0,0.0,0.0,85.0,,,,,,,,,,
2015,1,1,4,B6,730,BQN,MCO,419,174,1129,613,0,0,,,,,,,-7.0,,,,,,,,,,
2015,1,1,4,B6,768,PSE,MCO,424,186,1179,630,0,0,,,,,,,-1.0,,,,,,,,,,
2015,1,1,4,B6,2276,SJU,BDL,438,241,1666,739,0,0,,17.0,0.0,72.0,0.0,0.0,89.0,,,,,,,,,,
