YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,1,4,AA,2454,N3ETAA,BOS,MIA,515,510,-5,14,524,208,215,182,1258,826,19,843,845,0,0,0,,,,,,,23,48,WSW,17,0,75,82,VAR,3,0
2015,1,1,4,EV,4354,N12142,MKE,IAH,515,517,2,12,529,178,189,163,984,812,14,813,826,0,0,0,,,,,,,15,64,WSW,14,0,41,93,N,10,0
2015,1,1,4,US,425,N174US,PDX,PHX,520,620,60,13,633,150,150,132,1009,945,5,850,950,1,0,0,,0,0,60,0,0,26,63,ESE,6,0,37,82,CALM,0,0
2015,1,1,4,AA,89,N3KVAA,IAH,MIA,520,618,58,19,637,141,137,111,964,928,7,841,935,1,0,0,,0,0,54,0,0,42,79,NE,10,0,75,82,VAR,3,0
2015,1,1,4,DL,2099,N355NW,BNA,DTW,520,511,-9,30,541,103,106,66,456,747,10,803,757,0,0,0,,,,,,,27,85,CALM,0,0,19,62,SSW,20,0
2015,1,1,4,EV,4685,N26545,BRO,IAH,520,517,-3,15,532,74,72,49,308,621,8,634,629,0,0,0,,,,,,,37,93,SW,1,0,42,82,N,8,0
2015,1,1,4,EV,5583,N882AS,VPS,ATL,520,514,-6,9,523,66,57,42,250,705,6,726,711,0,0,0,,,,,,,43,95,NE,5,0,32,79,CALM,0,0
2015,1,1,4,OO,5484,N824AS,BOI,SFO,520,525,5,24,549,112,110,79,522,608,7,612,615,0,0,0,,,,,,,10,85,CALM,0,0,48,48,NE,17,0
2015,1,1,4,OO,7370,N432SW,BJI,MSP,520,517,-3,31,548,60,72,34,199,622,7,620,629,0,0,0,,,,,,,22,92,W,12,0,17,74,SW,12,0
2015,1,1,4,B6,1990,SJU,EWR,206,246,1608,512,0,0,77,84,CALM,0,0,24,53,WSW,6,0,,,,,,,,,,,,,,,,,
2015,1,1,4,US,699,PHX,CLT,220,224,1773,804,0,0,37,76,NW,3,0,35,85,CALM,0,0,,,,,,,,,,,,,,,,,
2015,1,1,4,AS,114,ANC,SEA,220,200,1448,640,0,0,34,87,N,6,0,29,82,ENE,3,0,,,,,,,,,,,,,,,,,
2015,1,1,4,B6,668,PSE,MCO,255,185,1179,500,0,0,,,,,,60,93,N,9,0,,,,,,,,,,,,,,,,,
2015,1,1,4,UA,1162,BQN,EWR,259,240,1585,559,0,0,,,,,,24,53,WSW,6,0,,,,,,,,,,,,,,,,,
2015,1,1,4,B6,1030,BQN,MCO,307,173,1129,500,0,1,,,,,,60,93,N,9,0,,,,,,,,,,,,,,,,,
2015,1,1,4,B6,262,SJU,BOS,330,245,1674,635,0,0,76,87,CALM,0,0,23,50,WSW,14,0,,,,,,,,,,,,,,,,,
2015,1,1,4,B6,2134,SJU,MCO,400,185,1189,605,0,1,76,87,CALM,0,0,61,90,N,8,0,,,,,,,,,,,,,,,,,
2015,1,1,4,B6,730,BQN,MCO,419,174,1129,613,0,0,,,,,,61,90,N,8,0,,,,,,,,,,,,,,,,,
2015,1,1,4,B6,768,PSE,MCO,424,186,1179,630,0,0,,,,,,61,90,N,8,0,,,,,,,,,,,,,,,,,
2015,1,1,4,B6,2276,SJU,BDL,438,241,1666,739,0,1,76,87,CALM,0,0,24,42,WSW,13,0,,,,,,,,,,,,,,,,,
2015,1,1,4,US,602,ORD,PHX,500,228,1440,748,0,0,15,64,WSW,18,0,37,86,E,5,0,,,,,,,,,,,,,,,,,
2015,1,1,4,AS,695,GEG,SEA,500,70,224,610,0,0,10,87,E,3,0,29,82,ENE,3,0,,,,,,,,,,,,,,,,,
2015,1,1,4,HA,102,HNL,ITO,500,49,216,549,0,0,65,75,NW,7,0,38,39,,0,0,,,,,,,,,,,,,,,,,
2015,1,1,4,OO,5467,ONT,SFO,500,89,363,629,0,0,32,61,NNE,8,0,48,48,NE,17,0,,,,,,,,,,,,,,,,,
2015,1,1,4,HA,103,HNL,LIH,523,37,102,600,0,0,65,75,NW,7,0,62,72,WSW,6,0,,,,,,,,,,,,,,,,,
2015,1,1,4,EV,5187,BNA,ATL,525,65,214,730,0,0,27,85,CALM,0,0,32,79,CALM,0,0,,,,,,,,,,,,,,,,,
2015,1,1,4,MQ,2859,SGF,DFW,525,95,364,700,1,1,21,68,WSW,9,0,31,89,N,6,0,,,,,,,,,,,,,,,,,
2015,1,1,4,UA,1201,PHL,IAH,530,230,1325,820,0,0,30,43,WSW,13,0,41,93,N,10,0,,,,,,,,,,,,,,,,,
2015,1,1,4,UA,1221,PDX,DEN,530,142,991,852,0,0,26,63,ESE,6,0,12,64,WSW,9,0,,,,,,,,,,,,,,,,,
2015,1,1,4,UA,1607,SEA,DEN,530,157,1024,907,0,0,29,75,CALM,0,0,15,61,SW,5,0,,,,,,,,,,,,,,,,,
2015,1,1,4,AA,328,DEN,DFW,530,125,641,835,0,1,8,64,WSW,7,0,32,88,NNE,3,0,,,,,,,,,,,,,,,,,
2015,1,1,4,EV,5764,SBN,ORD,530,55,84,525,0,0,16,65,WSW,12,0,15,64,WSW,18,0,,,,,,,,,,,,,,,,,
2015,1,1,4,F9,1279,PHL,MCO,530,160,861,810,0,0,30,43,WSW,13,0,62,90,N,9,0,,,,,,,,,,,,,,,,,
2015,1,1,4,NK,409,ORD,FLL,530,188,1182,938,0,0,15,64,WSW,18,0,75,84,ENE,5,0,,,,,,,,,,,,,,,,,
2015,1,1,4,OO,5460,RDD,SFO,530,90,199,700,1,1,46,26,N,7,0,49,43,NE,14,0,,,,,,,,,,,,,,,,,
2015,1,1,4,OO,6391,EUG,DEN,530,163,996,913,0,0,23,74,NNW,3,0,15,61,SW,5,0,,,,,,,,,,,,,,,,,
2015,1,1,4,UA,1532,SFO,DEN,531,146,967,857,0,1,48,42,NE,9,0,12,64,WSW,9,0,,,,,,,,,,,,,,,,,
2015,1,1,4,UA,1167,ORD,DEN,533,167,888,720,0,0,15,64,WSW,18,0,9,67,SW,10,0,,,,,,,,,,,,,,,,,
2015,1,1,4,UA,1012,IAD,IAH,535,207,1190,802,0,0,20,68,S,6,0,41,93,N,10,0,,,,,,,,,,,,,,,,,
2015,1,1,4,B6,2001,BUF,JFK,535,88,301,703,0,0,25,69,SW,16,0,29,43,W,14,0,,,,,,,,,,,,,,,,,
